COG ID	COG Name	Isolate Genome Count	Metagenome Count	
COG1169	Isochorismate synthase EntC	27310	6350	
COG1171	Threonine dehydratase	40485	7109	
COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	22549	6837	
COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	43653	7347	
COG1174	ABC-type proline/glycine betaine transport system, permease component	26426	6155	
COG1175	ABC-type sugar transport system, permease component	37157	7207	
COG1176	ABC-type spermidine/putrescine transport system, permease component I	32961	6800	
COG1177	ABC-type spermidine/putrescine transport system, permease component II	34470	6805	
COG1178	ABC-type Fe3+ transport system, permease component	25240	6837	
COG1179	tRNA A37 threonylcarbamoyladenosine dehydratase	28874	6539	
COG1180	Pyruvate-formate lyase-activating enzyme	31683	6980	
COG1181	D-alanine-D-alanine ligase and related ATP-grasp enzymes	48054	7306	
COG1182	FMN-dependent NADH-azoreductase	27648	6205	
COG1183	Phosphatidylserine synthase	22952	6964	
COG1184	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	1127	5473	
COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	47223	7413	
COG1186	Protein chain release factor B	48380	7341	
COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	47334	7330	
COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	37951	6637	
COG1189	Predicted rRNA methylase YqxC, contains S4 and FtsJ domains	20636	6894	
COG1190	Lysyl-tRNA synthetase (class II)	45566	7359	
COG1191	DNA-directed RNA polymerase specialized sigma subunit	31566	7161	
COG1192	Cellulose biosynthesis protein BcsQ	40940	7398	
COG1193	dsDNA-specific endonuclease/ATPase MutS2	18578	7023	
COG1194	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	42176	6951	
COG1195	Recombinational DNA repair ATPase RecF	42167	7148	
COG1196	Chromosome segregation ATPase	32301	7560	
COG1197	Transcription-repair coupling factor (superfamily II helicase)	44400	7282	
COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	44873	7311	
COG1199	Rad3-related DNA helicase	37255	7149	
COG1200	RecG-like helicase	46614	7266	
COG1201	Lhr-like helicase	16162	6829	
COG1202	Superfamily II helicase, archaea-specific	466	5201	
COG1203	CRISPR/Cas system-associated endonuclease/helicase Cas3	8658	6327	
COG1204	Replicative superfamily II helicase	2277	6766	
COG1205	ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain	8806	6643	
COG1206	Folate-dependent tRNA-U54 methylase TrmFO/GidA	15392	6682	
COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	42162	7311	
COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis proteins	9573	7277	
COG1209	dTDP-glucose pyrophosphorylase	35088	7240	
COG1210	UTP-glucose-1-phosphate uridylyltransferase	42290	7199	
COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	39260	7137	
COG1212	CMP-2-keto-3-deoxyoctulosonic acid synthetase	25833	7015	
COG1213	Choline kinase	4714	6205	
COG1214	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	44875	7135	
COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	38595	7402	
COG1216	Glycosyltransferase, GT2 family	29605	7346	
COG1217	Predicted membrane GTPase involved in stress response	47041	7271	
COG1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	24303	6664	
COG1219	ATP-dependent protease Clp, ATPase subunit	46238	7426	
COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit	30645	7196	
COG1221	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain	11678	5613	
COG1222	ATP-dependent 26S proteasome regulatory subunit	1322	6819	
COG1223	Predicted ATPase, AAA+ superfamily	240	5909	
COG1224	DNA helicase TIP49, TBP-interacting protein	496	5591	
COG1225	Peroxiredoxin	42981	7430	
COG1226	Voltage-gated potassium channel Kch	10265	6720	
COG1227	Inorganic pyrophosphatase/exopolyphosphatase	16755	6301	
COG1228	Imidazolonepropionase or related amidohydrolase	31240	7185	
COG1229	Formylmethanofuran dehydrogenase subunit A	883	5583	
COG1230	Co/Zn/Cd efflux system component	33741	7197	
COG1231	Monoamine oxidase	12294	6201	
COG1232	Protoporphyrinogen oxidase	19992	7130	
COG1233	Phytoene dehydrogenase-related protein	18900	7238	
COG1234	Ribonuclease BN, tRNA processing enzyme	36188	7188	
COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	33067	7209	
COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family	13910	6934	
COG1237	Metal-dependent hydrolase, beta-lactamase superfamily II	5825	6499	
COG1238	Uncharacterized membrane protein YqaA, SNARE-associated domain	21624	6661	
COG1239	Mg-chelatase subunit ChlI	10024	6770	
COG1240	Mg-chelatase subunit ChlD	8530	6959	
COG1241	DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family	982	6102	
COG1242	Radical SAM superfamily enzyme	22459	6220	
COG1243	Histone acetyltransferase, component of the RNA polymerase elongator complex	2052	6282	
COG1244	Uncharacterized Fe-S cluster-containing protein. MiaB family	760	5183	
COG1245	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains	1093	6594	
COG1246	N-acetylglutamate synthase or related acetyltransferase, GNAT family	26092	7107	
COG1247	L-amino acid N-acyltransferase YncA	35801	6983	
COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	46397	7491	
COG1250	3-hydroxyacyl-CoA dehydrogenase	37820	7270	
COG1251	NAD(P)H-nitrite reductase, large subunit	26892	7151	
COG1252	NADH dehydrogenase, FAD-containing subunit	39096	7291	
COG1253	Hemolysin or related protein, contains CBS domains	44431	7444	
COG1254	Acylphosphatase	34154	6889	
COG1255	Uncharacterized protein, UPF0146 family	381	3257	
COG1256	Flagellar hook-associated protein FlgK	19835	6767	
COG1257	Hydroxymethylglutaryl-CoA reductase	15351	6680	
COG1258	tRNA U54 and U55 pseudouridine synthase Pus10	919	5053	
COG1259	Bifunctional DNase/RNase	10050	6800	
COG1260	Myo-inositol-1-phosphate synthase	7699	6780	
COG1261	Flagella basal body P-ring formation protein FlgA	14962	6319	
COG1262	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain	20560	6997	
COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	27087	5965	
COG1264	Phosphotransferase system IIB components	6590	5191	
COG1266	Membrane protease YdiL, CAAX protease family	20611	6552	
COG1267	Phosphatidylglycerophosphatase A	23540	6577	
COG1268	Biotin transporter BioY	20258	6485	
COG1269	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	5456	6856	
COG1270	Cobalamin biosynthesis protein CobD/CbiB	20729	6614	
COG1271	Cytochrome bd-type quinol oxidase, subunit 1	33581	7027	
COG1272	Predicted membrane channel-forming protein YqfA, hemolysin III family	37731	6776	
COG1273	Non-homologous end joining protein Ku, dsDNA break repair	11591	5582	
COG1274	Phosphoenolpyruvate carboxykinase, GTP-dependent	9941	6840	
COG1275	Tellurite resistance protein TehA and related permeases	23237	5724	
COG1276	Putative copper export protein	14608	5662	
COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component	11079	6702	
COG1278	Cold shock protein, CspA family	43846	7396	
COG1279	Arginine exporter protein ArgO	29262	5617	
COG1280	Threonine/homoserine/homoserine lactone efflux protein	28623	6854	
COG1281	Redox-regulated molecular chaperone, HSP33 family	35073	6815	
COG1282	NAD/NADP transhydrogenase beta subunit	25567	6958	
COG1283	Na+/phosphate symporter	22824	6838	
COG1284	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains	17353	6241	
COG1285	Uncharacterized membrane protein YhiD, involved in acid resistance	23461	6616	
COG1286	Uncharacterized membrane protein, required for colicin V production	33271	6871	
COG1287	Asparagine N-glycosylation enzyme, membrane subunit Stt3	1685	6412	
COG1288	Uncharacterized membrane protein YfcC, ion transporter superfamily	20484	5970	
COG1289	Uncharacterized membrane protein YccC	25113	6211	
COG1290	Cytochrome b subunit of the bc complex	17838	7069	
COG1291	Flagellar motor component MotA	22555	6675	
COG1292	Choline-glycine betaine transporter	29455	6075	
COG1293	Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains	16001	6714	
COG1294	Cytochrome bd-type quinol oxidase, subunit 2	36749	6754	
COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)	43956	7080	
COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	33072	6155	
COG1297	Uncharacterized membrane protein, oligopeptide transporter (OPT) family	9980	6691	
COG1298	Flagellar biosynthesis pathway, component FlhA	22124	6802	
COG1299	Phosphotransferase system, fructose-specific IIC component	28512	5878	
COG1300	Uncharacterized membrane protein SpoIIM, required for sporulation	10766	5618	
COG1301	Na+/H+-dicarboxylate symporter	36929	7053	
COG1302	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family	16456	5701	
COG1303	Predicted rRNA methylase, SpoU family	844	4213	
COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	38291	7138	
COG1305	Transglutaminase-like enzyme, putative cysteine protease	16716	7061	
COG1306	Uncharacterized protein	3381	5661	
COG1307	Fatty acid-binding protein DegV (function unknown)	20320	6429	
COG1308	Transcription factor homologous to NACalpha-BTF3	1115	5212	
COG1309	DNA-binding transcriptional regulator, AcrR family	45539	7501	
COG1310	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	13596	6661	
COG1311	Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B	932	5214	
COG1312	D-mannonate dehydratase	15189	6484	
COG1313	Uncharacterized Fe-S protein PflX, radical SAM superfamily	2259	5703	
COG1314	Preprotein translocase subunit SecG	45523	7174	
COG1315	Uncharacterized conserved protein, DUF342 family	4499	5833	
COG1316	Anionic cell wall polymer biosynthesis enzyme,  LytR-Cps2A-Psr (LCP) family	22213	6389	
COG1317	Flagellar biosynthesis/type III secretory pathway protein FliH	20061	6517	
COG1318	Predicted transcriptional regulator	213	3769	
COG1319	CO or xanthine dehydrogenase, FAD-binding subunit	16264	6851	
COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit	17904	5746	
COG1321	Mn-dependent transcriptional regulator, DtxR family	30398	6974	
COG1322	DNA anti-recombination protein (rearrangement mutator) RmuC	26593	6940	
COG1323	Predicted nucleotidyltransferase	13766	4655	
COG1324	Uncharacterized protein involved in tolerance to divalent cations	16411	6423	
COG1325	Exosome subunit, RNA binding protein with dsRBD fold	888	3879	
COG1326	Uncharacterized archaeal Zn-finger protein	528	4733	
COG1327	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	41943	7119	
COG1328	Anaerobic ribonucleoside-triphosphate reductase	27266	6970	
COG1329	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family	12431	6662	
COG1330	Exonuclease V gamma subunit	20133	6369	
COG1331	Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains	10567	7065	
COG1332	CRISPR/Cas system CSM-associated protein Csm5, group 7 of RAMP superfamily	2291	4709	
COG1333	Cytochrome c biogenesis protein ResB	9869	6668	
COG1334	Uncharacterized conserved protein, FlaG/YvyC family	6329	5928	
COG1335	Nicotinamidase-related amidase	43412	7299	
COG1336	CRISPR/Cas system CMR subunit Cmr4, Cas7 group, RAMP superfamily	978	5119	
COG1337	CRISPR/Cas system CSM-associated protein Csm3, group 7 of RAMP superfamily	3803	5391	
COG1338	Flagellar biosynthetic protein FliP	22620	6500	
COG1339	Archaeal CTP-dependent riboflavin kinase	776	4909	
COG1340	Uncharacterized coiled-coil protein, contains DUF342 domain	944	5613	
COG1341	Polynucleotide 5'-kinase, involved in rRNA processing	460	5447	
COG1342	Predicted DNA-binding protein, UPF0251 family	3636	4678	
COG1343	CRISPR/Cas system-associated endoribonuclease Cas2	7142	5778	
COG1344	Flagellin and related hook-associated protein FlgL	22220	7001	
COG1345	Flagellar capping protein FliD	19169	6611	
COG1346	Putative effector of murein hydrolase	29004	5936	
COG1347	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD	7645	5743	
COG1348	Nitrogenase subunit NifH, an ATPase	3297	6194	
COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	34437	7128	
COG1350	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)	3201	6696	
COG1351	Thymidylate synthase ThyX	10912	6670	
COG1352	Methylase of chemotaxis methyl-accepting proteins	22756	6805	
COG1353	CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain	3093	5664	
COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	34143	7170	
COG1355	Predicted class III extradiol dioxygenase, MEMO1 family	3574	6322	
COG1356	Transcriptional regulator	325	4272	
COG1357	Uncharacterized protein YjbI, contains pentapeptide repeats	20010	6889	
COG1358	Ribosomal protein L7Ae or related RNA K-turn-binding protein	14758	6506	
COG1359	Quinol monooxygenase YgiN	29893	6885	
COG1360	Flagellar motor protein MotB	24081	6996	
COG1361	Uncharacterized conserved protein	1278	4966	
COG1362	Aspartyl aminopeptidase	9605	6499	
COG1363	Putative aminopeptidase FrvX	24477	6871	
COG1364	N-acetylglutamate synthase (N-acetylornithine aminotransferase)	26299	7010	
COG1365	Predicted ATPase, PP-loop superfamily	117	3527	
COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	25366	6933	
COG1367	CRISPR/Cas system CMR-associated protein Cmr1, group 7 of RAMP superfamily	354	4497	
COG1368	Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily	30078	6616	
COG1369	RNase P/RNase MRP subunit POP5	909	3594	
COG1370	tRNA-guanine transglycosylase, archaeosine-15-forming	740	4029	
COG1371	SHS2 domain protein implicated in nucleic acid metabolism	5221	5311	
COG1372	Intein/homing endonuclease	366	6136	
COG1373	Predicted ATPase, AAA+ superfamily	10793	6728	
COG1374	Rbosome biogenesis protein Nip4, contains PUA domain	293	3780	
COG1376	Lipoprotein-anchoring transpeptidase ErfK/SrfK	23745	6957	
COG1377	Flagellar biosynthesis protein FlhB	22762	6653	
COG1378	Sugar-specific transcriptional regulator TrmB	5023	5784	
COG1379	PHP family phosphoesterase with a Zn ribbon	2691	5570	
COG1380	Putative effector of murein hydrolase LrgA, UPF0299 family	28792	5518	
COG1381	Recombinational DNA repair protein (RecF pathway)	43175	7030	
COG1382	Prefoldin, chaperonin cofactor	1213	5004	
COG1383	Ribosomal protein S17E	1144	4712	
COG1384	Lysyl-tRNA synthetase, class I	4832	6301	
COG1385	16S rRNA U1498 N3-methylase RsmE	45855	7076	
COG1386	Chromosome segregation and condensation protein ScpB	33863	7102	
COG1387	Histidinol phosphatase or related hydrolase of the PHP family	22439	6804	
COG1388	LysM repeat	11358	7013	
COG1389	DNA topoisomerase VI, subunit B	814	5805	
COG1390	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	4124	5928	
COG1391	Glutamine synthetase adenylyltransferase	25474	6898	
COG1392	Uncharacterized conserved protein YkaA, distantly related to PhoU, UPF0111/DUF47 family	19255	6778	
COG1393	Arsenate reductase and related proteins, glutaredoxin family	38684	6850	
COG1394	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	5673	6306	
COG1395	Predicted transcriptional regulator	716	5976	
COG1396	Transcriptional regulator, contains XRE-family HTH domain	31714	7359	
COG1397	ADP-ribosylglycohydrolase	16142	6807	
COG1398	Fatty-acid desaturase	11112	6087	
COG1399	Uncharacterized metal-binding protein YceD, DUF177 family	38900	7181	
COG1400	Signal recognition particle subunit SEC65	1084	4119	
COG1401	5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB	2046	5875	
COG1402	 Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis	11515	6545	
COG1403	5-methylcytosine-specific restriction endonuclease McrA	13685	7110	
COG1404	Serine protease, subtilisin family	12666	7224	
COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	1367	6354	
COG1406	Chemotaxis protein CheX, a CheY~P-specific phosphatase	4162	5565	
COG1407	Metallophosphoesterase superfamily enzyme	5811	5788	
COG1408	Predicted phosphohydrolase, MPP superfamily	20946	7071	
COG1409	3',5'-cyclic AMP phosphodiesterase CpdA	33269	7114	
COG1410	Methionine synthase I, cobalamin-binding domain	27088	7077	
COG1411	Uncharacterized protein related to proFAR isomerase (HisA)	828	4680	
COG1412	rRNA-processing protein FCF1	1218	4807	
COG1413	HEAT repeat	7780	6740	
COG1414	DNA-binding transcriptional regulator, IclR family	28871	7065	
COG1415	Uncharacterized protein	1861	5028	
COG1416	Intracellular sulfur oxidation protein, DsrE/DsrF family	3605	5835	
COG1417	Uncharacterized protein	7	3089	
COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y	31504	7107	
COG1419	Flagellar biosynthesis GTPase FlhF	11989	6516	
COG1420	Transcriptional regulator of heat shock response	28413	7107	
COG1421	CRISPR/Cas system CSM-associated protein Csm2, small subunit	424	4124	
COG1422	Uncharacterized archaeal membrane protein, DUF106 family, distantly related to YidC/Oxa1	801	6101	
COG1423	ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family	410	4824	
COG1424	Pimeloyl-CoA synthetase	5809	4195	
COG1426	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains	24325	7089	
COG1427	Predicted periplasmic solute-binding protein	4154	5948	
COG1428	Deoxyadenosine/deoxycytidine kinase	14661	6760	
COG1429	Cobalamin biosynthesis protein CobN, Mg-chelatase	9684	6901	
COG1430	Uncharacterized conserved membrane protein, UPF0127 family	10370	6502	
COG1431	Argonaute homolog, implicated in RNA metabolism and viral defense	14	4411	
COG1432	Uncharacterized conserved protein, LabA/DUF88 family	13667	6916	
COG1433	Predicted Fe-Mo cluster-binding protein, NifX family	5228	5019	
COG1434	Uncharacterized SAM-binding protein YcdF, DUF218 family	32960	6783	
COG1435	Thymidine kinase	30888	6849	
COG1436	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7	4399	5644	
COG1437	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)	5443	5785	
COG1438	Arginine repressor	30121	6247	
COG1439	rRNA maturation endonuclease Nob1	930	5586	
COG1440	Phosphotransferase system cellobiose-specific component IIB	16303	4208	
COG1441	O-succinylbenzoate synthase	9864	5120	
COG1442	Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase	13095	6020	
COG1443	Isopentenyldiphosphate isomerase	20251	6616	
COG1444	tRNA(Met) C34 N-acetyltransferase TmcA	10745	5985	
COG1445	Phosphotransferase system fructose-specific component IIB	11110	5291	
COG1446	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily	15255	6690	
COG1447	Phosphotransferase system cellobiose-specific component IIA	21490	4048	
COG1448	Aspartate/tyrosine/aromatic aminotransferase	18986	6555	
COG1449	Alpha-amylase/alpha-mannosidase, GH57 family	2033	6515	
COG1450	Type II secretory pathway component GspD/PulD (secretin)	18255	7016	
COG1451	Predicted metal-dependent hydrolase	26967	6754	
COG1452	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	23270	6997	
COG1453	Predicted oxidoreductase of the aldo/keto reductase family	3109	6367	
COG1454	Alcohol dehydrogenase, class IV	35828	7254	
COG1455	Phosphotransferase system cellobiose-specific component IIC	22041	5472	
COG1456	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)	1059	5002	
COG1457	Purine-cytosine permease or related protein	21052	6541	
COG1458	Predicted DNA-binding protein containing PIN domain, UPF0278 family	557	3819	
COG1459	Type II secretory pathway, component PulF	37730	7329	
COG1460	DNA-directed RNA polymerase, subunit F	1014	4181	
COG1461	Predicted kinase related to dihydroxyacetone kinase	18495	6427	
COG1462	Curli biogenesis system outer membrane secretion channel CsgG	11599	6263	
COG1463	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD	14606	7009	
COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen	35678	5959	
COG1465	3-dehydroquinate synthase, class II	1134	5079	
COG1466	DNA polymerase III, delta subunit	47016	7188	
COG1467	Eukaryotic-type DNA primase, catalytic (small) subunit	1120	4884	
COG1468	CRISPR/Cas system-associated exonuclease Cas4, RecB family	4936	6298	
COG1469	GTP cyclohydrolase FolE2	12968	6549	
COG1470	Uncharacterized membrane protein	385	6295	
COG1471	Ribosomal protein S4E	1187	5651	
COG1472	Periplasmic beta-glucosidase and related glycosidases	34819	7214	
COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	36471	7212	
COG1474	Cdc6-related protein, AAA superfamily ATPase	1614	6521	
COG1475	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	47166	7352	
COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	36069	7018	
COG1477	Thiamine biosynthesis lipoprotein ApbE	27849	6993	
COG1478	F420-0:Gamma-glutamyl ligase (F420 biosynthesis)	6704	6029	
COG1479	Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	6006	6387	
COG1480	Membrane-associated HD superfamily phosphohydrolase	6331	6692	
COG1481	DNA-binding transcriptional regulator WhiA, involved in cell division	19786	5684	
COG1482	Mannose-6-phosphate isomerase, class I	21388	6714	
COG1483	Predicted ATPase, AAA+ superfamily	826	5601	
COG1484	DNA replication protein DnaC	31194	7247	
COG1485	Predicted ATPase	24340	6251	
COG1486	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase	15932	6426	
COG1487	Predicted nucleic acid-binding protein, contains PIN domain	17075	6744	
COG1488	Nicotinic acid phosphoribosyltransferase	42514	7152	
COG1489	DNA-binding protein, stimulates sugar fermentation	17015	6199	
COG1490	D-Tyr-tRNAtyr deacylase	39951	6976	
COG1491	Predicted nucleic acid-binding OB-fold protein	989	4586	
COG1492	Cobyric acid synthase	20210	6718	
COG1493	Serine kinase of the HPr protein, regulates carbohydrate metabolism	18233	6766	
COG1494	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	20674	6608	
COG1495	Disulfide bond formation protein DsbB	24028	6179	
COG1496	Copper oxidase (laccase) domain	38599	6935	
COG1497	Predicted transcriptional regulator	506	5659	
COG1498	RNA processing factor Prp31, contains Nop domain	1045	5693	
COG1499	NMD protein affecting ribosome stability and mRNA decay	831	5218	
COG1500	Ribosome maturation protein Sdo1	1194	5189	
COG1501	Alpha-glucosidase, glycosyl hydrolase family GH31	15619	6977	
COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	40192	7272	
COG1503	Peptide chain release factor 1 (eRF1)	3696	5872	
COG1504	Uncharacterized protein	582	4381	
COG1505	Prolyl oligopeptidase PreP, S9A serine peptidase family	10357	6751	
COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	13004	7325	
COG1507	Uncharacterized protein	5880	5213	
COG1508	DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog	28457	7153	
COG1509	L-lysine 2,3-aminomutase (EF-P beta-lysylation pathway)	20322	6973	
COG1510	DNA-binding transcriptional regulator GbsR, MarR family	9835	5995	
COG1511	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	13420	6688	
COG1512	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	20103	7008	
COG1513	Cyanate lyase	7294	5481	
COG1514	2'-5' RNA ligase	31734	6690	
COG1515	Deoxyinosine 3'endonuclease (endonuclease V)	12297	5515	
COG1516	Flagellin-specific chaperone FliS	20438	6433	
COG1517	CRISPR/Cas system-associated protein Csx1, contains CARF domain	189	2826	
COG1518	CRISPR/Cas system-associated endonuclease Cas1	17089	6553	
COG1519	3-deoxy-D-manno-octulosonic-acid transferase	25170	6854	
COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	24779	7017	
COG1521	Pantothenate kinase type III	22633	6963	
COG1522	DNA-binding transcriptional regulator, Lrp family	33712	7341	
COG1523	Pullulanase/glycogen debranching enzyme	27306	7016	
COG1524	Predicted pyrophosphatase or phosphodiesterase, AlkP superfamily	7798	6816	
COG1525	Endonuclease YncB, thermonuclease family	19143	6814	
COG1526	Formate dehydrogenase assembly factor FdhD	32057	6730	
COG1527	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6	4313	6170	
COG1528	Ferritin	25118	6615	
COG1529	CO or xanthine dehydrogenase, Mo-binding subunit	19051	7106	
COG1530	Ribonuclease G or E	33886	7322	
COG1531	Uncharacterized protein, UPF0248 family	422	3054	
COG1532	Predicted RNA-binding protein	782	2193	
COG1533	DNA repair photolyase	16799	6652	
COG1534	RNA-binding protein YhbY	32435	6391	
COG1535	Isochorismate hydrolase	13258	5463	
COG1536	Flagellar motor switch protein FliG	22402	6634	
COG1537	Stalled ribosome rescue protein Dom34, pelota family	1145	5287	
COG1538	Outer membrane protein TolC	27578	7354	
COG1539	Dihydroneopterin aldolase	40640	6914	
COG1540	Lactam utilization protein B (function unknown)	27939	6479	
COG1541	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family	17705	6943	
COG1542	Uncharacterized protein	68	3575	
COG1543	Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains	4734	6054	
COG1544	Ribosome-associated translation inhibitor RaiA	45517	7348	
COG1545	Uncharacterized OB-fold protein, contains Zn-ribbon domain	7873	6133	
COG1546	Nicotinamide mononucleotide (NMN) deamidase PncC	27949	7036	
COG1547	Predicted metal-dependent hydrolase	7403	4970	
COG1548	Uncharacterized protein, hydantoinase/oxoprolinase family	853	4838	
COG1549	Predicted RNA-binding protein, contains uracil-DNA-glycosylase-like and PUA domains	481	4592	
COG1550	Uncharacterized conserved protein YlxP, DUF503 family	7595	5285	
COG1551	sRNA-binding carbon storage regulator CsrA	20236	6625	
COG1552	Ribosomal protein L40E	901	4607	
COG1553	Sulfur relay (sulfurtransferase) complex TusBCD TusD component, DsrE family	15711	6039	
COG1554	Trehalose and maltose hydrolase (possible phosphorylase)	13182	6754	
COG1555	DNA uptake protein ComE and related DNA-binding proteins	28170	7014	
COG1556	L-lactate utilization protein LutC, contains LUD domain	13249	6346	
COG1558	Flagellar basal body rod protein FlgC	22415	6513	
COG1559	Cell division protein YceG, involved in septum cleavage	40793	7166	
COG1560	Lauroyl/myristoyl acyltransferase	30253	6930	
COG1561	Uncharacterized conserved protein YicC, UPF0701 family	25728	6985	
COG1562	Phytoene/squalene synthetase	19277	6691	
COG1563	Uncharacterized MnhB-related membrane protein	1799	4535	
COG1564	Thiamine pyrophosphokinase	18475	6225	
COG1565	SAM-dependent methyltransferase, MidA family	10485	6442	
COG1566	Multidrug resistance efflux pump	26055	7401	
COG1567	CRISPR/Cas system CSM-associated protein Csm4, group 5 of RAMP superfamily	2405	4707	
COG1568	Predicted methyltransferase	683	4726	
COG1569	Predicted nucleic acid-binding protein, contains PIN domain	4461	6161	
COG1570	Exonuclease VII, large subunit	44611	7192	
COG1571	tRNA(Ile2) C34 agmatinyltransferase TiaS	864	5539	
COG1572	Serine protease, subtilase family	282	5329	
COG1573	Uracil-DNA glycosylase	25094	7147	
COG1574	Predicted amidohydrolase YtcJ	21633	6968	
COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase	28884	6860	
COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	38536	6864	
