LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSC1_ECOLX, (P08692) (ARSC1_ECOLX)
WP_048879086.1, Acidocella_aminolytica (WP_048879086.1)
WP_048892847.1, Mycobacterium_heckeshornense (WP_048892847.1)
WP_049075975.1, Achromobacter (WP_049075975.1)
WP_049209511.1, Serratia_marcescens (WP_049209511.1)
WP_049722094.1, Gilvimarinus_polysaccharolyticus (WP_049722094.1)
WP_049724484.1, Wenzhouxiangella_marina (WP_049724484.1)
WP_050399802.1, Bradyrhizobium_embrapense (WP_050399802.1)
WP_050417386.1, Azoarcus_sp._CIB (WP_050417386.1)
WP_050467349.1, Herbaspirillum_chlorophenolicum (WP_050467349.1)
WP_050478236.1, Herbaspirillum_rhizosphaerae (WP_050478236.1)
WP_050872639.1, Comamonas_testosteroni (WP_050872639.1)
WP_053195038.1, Herbaspirillum_hiltneri (WP_053195038.1)
WP_054110882.1, Brevundimonas_sp._AAP58 (WP_054110882.1)
WP_054128780.1, alpha_proteobacterium_AAP81b (WP_054128780.1)
WP_054162797.1, Rhodopseudomonas_sp._AAP120 (WP_054162797.1)
WP_054164509.1, Rhodopseudomonas_sp._AAP120 (WP_054164509.1)
WP_054170058.1, alpha_proteobacterium_AAP38 (WP_054170058.1)
WP_054589300.1, Sphingopyxis_macrogoltabida (WP_054589300.1)
WP_054774526.1, Methylogaea_oryzae (WP_054774526.1)
WP_054933189.1, Burkholderia_sp._E7m48 (WP_054933189.1)
WP_055037371.1, Blastochloris_viridis (WP_055037371.1)
WP_055451460.1, Thiomonas_bhubaneswarensis (WP_055451460.1)
WP_055458831.1, Chelatococcus (WP_055458831.1)
WP_055581257.1, Mycobacterium_gordonae (WP_055581257.1)
WP_055845063.1, Aurantimonas_sp._Leaf443 (WP_055845063.1)
WP_055851869.1, Aurantimonas_sp._Leaf443 (WP_055851869.1)
WP_055893783.1, Ramlibacter_sp._Leaf400 (WP_055893783.1)
WP_055944105.1, Pseudoxanthomonas_sp._Root65 (WP_055944105.1)
WP_055977534.1, Aminobacter_sp._Root100 (WP_055977534.1)
WP_056201414.1, Methylobacterium_sp._Leaf123 (WP_056201414.1)
WP_056409861.1, Sphingomonas_sp._Leaf226 (WP_056409861.1)
WP_056410787.1, Sphingomonas_sp._Leaf28 (WP_056410787.1)
WP_056454715.1, Sphingomonas_sp._Leaf10 (WP_056454715.1)
WP_056470418.1, Rhizobacter_sp._Root404 (WP_056470418.1)
WP_056492700.1, Sphingomonas_sp._Leaf25 (WP_056492700.1)
WP_056497129.1, Methylobacterium_sp._Leaf111 (WP_056497129.1)
WP_056503238.1, Aureimonas_sp._Leaf454 (WP_056503238.1)
WP_056520859.1, Variovorax_sp._Root411 (WP_056520859.1)
WP_056534376.1, Rhizobium_sp._Root1220 (WP_056534376.1)
WP_056591379.1, Mesorhizobium (WP_056591379.1)
WP_056665722.1, Pseudorhodoferax_sp._Leaf265 (WP_056665722.1)
WP_056677719.1, Sphingomonas_sp._Leaf30 (WP_056677719.1)
WP_056733884.1, Phenylobacterium_sp._Root700 (WP_056733884.1)
WP_057168260.1, Mycobacterium_sp._Root265 (WP_057168260.1)
WP_057202048.1, Acidovorax_sp._Root217 (WP_057202048.1)
WP_057269410.1, Acidovorax_sp._Root219 (WP_057269410.1)
WP_057380600.1, Pseudomonas_aeruginosa (WP_057380600.1)
WP_057591327.1, Variovorax_paradoxus (WP_057591327.1)
WP_057596135.1, Variovorax_paradoxus (WP_057596135.1)
WP_057750918.1, Bradyrhizobium_manausense (WP_057750918.1)
WP_057849377.1, Bradyrhizobium_valentinum (WP_057849377.1)
WP_057943316.1, Lysobacter_gummosus (WP_057943316.1)
WP_058322216.1, Sinorhizobium_sp._GL28 (WP_058322216.1)
WP_058350427.1, Caulobacter_vibrioides (WP_058350427.1)
WP_058389181.1, Roseomonas_mucosa (WP_058389181.1)
WP_058428038.1, Pseudomonas_syringae (WP_058428038.1)
WP_058641530.1, Pseudacidovorax_intermedius (WP_058641530.1)
WP_058733446.1, Sphingomonas_sanguinis (WP_058733446.1)
WP_058738154.1, Novosphingobium_barchaimii (WP_058738154.1)
WP_060349297.1, Burkholderia_cepacia (WP_060349297.1)
WP_060821004.1, pseudomallei_group (WP_060821004.1)
WP_060911187.1, Bradyrhizobium_diazoefficiens (WP_060911187.1)
WP_060977401.1, Proteobacteria (WP_060977401.1)
WP_060999255.1, Mycobacterium_mucogenicum (WP_060999255.1)
WP_061499185.1, Ramlibacter_tataouinensis (WP_061499185.1)
WP_061499381.1, Acetobacter_malorum (WP_061499381.1)
WP_062059693.1, Cellvibrio_sp._OA-2007 (WP_062059693.1)
WP_062128002.1, Paraburkholderia_monticola (WP_062128002.1)
WP_062146024.1, Caulobacter_henricii (WP_062146024.1)
WP_062167673.1, Burkholderia_sp._PAMC_26561 (WP_062167673.1)
WP_062205677.1, Aureimonas_sp._AU12 (WP_062205677.1)
WP_062260364.1, Caballeronia_megalochromosomata (WP_062260364.1)
WP_062361935.1, Variovorax_paradoxus (WP_062361935.1)
WP_062459839.1, Rhizobium_sp._Leaf306 (WP_062459839.1)
WP_062541343.1, Mycobacterium_celatum (WP_062541343.1)
WP_062577944.1, Rhizobium_sp._Leaf321 (WP_062577944.1)
WP_062810102.1, Komagataeibacter (WP_062810102.1)
WP_063498531.1, Burkholderia_sp._OLGA172 (WP_063498531.1)
WP_063539777.1, Pseudomonas_stutzeri (WP_063539777.1)
WP_063688555.1, Bradyrhizobium_stylosanthis (WP_063688555.1)
WP_063701972.1, Bradyrhizobium_sp._BR_10245 (WP_063701972.1)
WP_063984572.1, Bradyrhizobium_sp. (WP_063984572.1)
WP_064020019.1, Methylomonas (WP_064020019.1)
WP_064023993.1, Methylomonas_koyamae (WP_064023993.1)
WP_064254828.1, Sinorhizobium_americanum (WP_064254828.1)
WP_064259073.1, Roseovarius_indicus (WP_064259073.1)
WP_064305023.1, Pseudomonas_putida (WP_064305023.1)
WP_064306684.1, Pseudomonas (WP_064306684.1)
WP_064310212.1, Sphingomonas_sp._TDK1 (WP_064310212.1)
WP_064518861.1, Buttiauxella_gaviniae (WP_064518861.1)
WP_064994011.1, Mesorhizobium_sp._WSM1497 (WP_064994011.1)
WP_065129500.1, Mycobacterium_asiaticum (WP_065129500.1)
WP_066050696.1, Halioglobus_sp._HI00S01 (WP_066050696.1)
WP_066173444.1, Hoeflea_olei (WP_066173444.1)
WP_066278872.1, Blastomonas_sp._CCH1-A6 (WP_066278872.1)
WP_066483872.1, Comamonas_terrae (WP_066483872.1)
WP_066532445.1, Comamonas_terrigena (WP_066532445.1)
WP_066608997.1, Sphingobium_czechense (WP_066608997.1)
WP_066637090.1, Bordetella_sp._H567 (WP_066637090.1)
WP_066915289.1, Mycobacterium_interjectum (WP_066915289.1)
WP_066941990.1, Mycobacterium_sp._1554424.7 (WP_066941990.1)
WP_066965560.1, Microbulbifer_sp._Q7 (WP_066965560.1)
WP_066965934.1, Mycobacterium_sp._852002-50816_SCH5313054-b (WP_066965934.1)
WP_067046577.1, Moritella_sp._JT01 (WP_067046577.1)
WP_067141207.1, Mycobacterium_sp._1245852.3 (WP_067141207.1)
WP_067231703.1, Mycobacterium_sp._852002-51163_SCH5372311 (WP_067231703.1)
WP_067338935.1, Mycobacterium_sp._1245111.1 (WP_067338935.1)
WP_067383134.1, Marinobacterium_aestuarii (WP_067383134.1)
WP_067412111.1, Mycobacterium_sp._1423905.2 (WP_067412111.1)
WP_067620459.1, Novosphingobium_sp._FSW06-99 (WP_067620459.1)
WP_067811780.1, Mycobacterium_sp._ACS1612 (WP_067811780.1)
WP_067890169.1, Mycobacterium (WP_067890169.1)
WP_067907531.1, Novosphingobium_fuchskuhlense (WP_067907531.1)
WP_067963854.1, Aminobacter_aminovorans (WP_067963854.1)
WP_068178621.1, Rhizobiales_bacterium_CCH3-A5 (WP_068178621.1)
WP_068385844.1, Rhizobium_sp._AC27/96 (WP_068385844.1)
WP_068616243.1, Woeseia_oceani (WP_068616243.1)
WP_068737309.1, Tardiphaga_robiniae (WP_068737309.1)
WP_068875102.1, Phenylobacterium (WP_068875102.1)
WP_068877242.1, Phenylobacterium (WP_068877242.1)
WP_068877942.1, Phenylobacterium (WP_068877942.1)
WP_068987683.1, Candidatus_Thiodiazotropha_endoloripes (WP_068987683.1)
WP_069004274.1, Candidatus_Thiodiazotropha_endoloripes (WP_069004274.1)
WP_069051353.1, Blastomonas_sp._RAC04 (WP_069051353.1)
WP_069121452.1, Candidatus_Thiodiazotropha_endolucinida (WP_069121452.1)
WP_069188589.1, Terasakiella_sp._PR1 (WP_069188589.1)
WP_069261262.1, Burkholderia_metallica (WP_069261262.1)
WP_069298889.1, Rhodobacteraceae_bacterium_CY02 (WP_069298889.1)
WP_069396112.1, Mycobacterium_shimoidei (WP_069396112.1)
WP_069406261.1, Mycobacterium_holsaticum (WP_069406261.1)
WP_069415492.1, Mycobacterium_flavescens (WP_069415492.1)
WP_069436876.1, Methyloceanibacter_methanicus (WP_069436876.1)
WP_069440999.1, Methyloceanibacter_superfactus (WP_069440999.1)
WP_069443064.1, Methyloceanibacter_stevinii (WP_069443064.1)
WP_069750404.1, Burkholderia_stabilis (WP_069750404.1)
WP_070425495.1, Stenotrophomonas_sp._LM091 (WP_070425495.1)
WP_070470325.1, Stenotrophomonas_sp._HMSC10F06 (WP_070470325.1)
WP_070987219.1, Halofilum_ochraceum (WP_070987219.1)
WP_071097529.1, Mesorhizobium_sp._ORS3428 (WP_071097529.1)
WP_071915639.1, Bradyrhizobium_japonicum (WP_071915639.1)
WP_072369139.1, Hyphomicrobium_sp._NDB2Meth4 (WP_072369139.1)
WP_072444960.1, Burkholderia (WP_072444960.1)
WP_072463888.1, Paracoccus_pantotrophus (WP_072463888.1)
WP_072608253.1, Mesorhizobium_sp._B7 (WP_072608253.1)
WP_072659773.1, Mariprofundus_micogutta (WP_072659773.1)
WP_072820200.1, Bradyrhizobium_erythrophlei (WP_072820200.1)
WP_073271942.1, Microbulbifer_donghaiensis (WP_073271942.1)
WP_073456728.1, Pseudonocardia_thermophila (WP_073456728.1)
WP_073694387.1, Mycobacterium_sp._ST-F2 (WP_073694387.1)
WP_074121155.1, Bradyrhizobium_sp._AS23.2 (WP_074121155.1)
WP_074276249.1, Bradyrhizobium_erythrophlei (WP_074276249.1)
WP_074289161.1, Burkholderia_sp._GAS332 (WP_074289161.1)
WP_074295171.1, Paraburkholderia_phenazinium (WP_074295171.1)
WP_074529583.1, Pseudomonas_psychrotolerans (WP_074529583.1)
WP_074546813.1, Dyella_jiangningensis (WP_074546813.1)
WP_074752986.1, Pseudomonas_abietaniphila (WP_074752986.1)
WP_074793905.1, Nitrosospira_briensis (WP_074793905.1)
WP_074814057.1, Bradyrhizobium (WP_074814057.1)
WP_074892324.1, Pseudomonas_graminis (WP_074892324.1)
WP_075152137.1, Sphingomonas_koreensis (WP_075152137.1)
WP_075186091.1, Alteromonadales_bacterium_BS08 (WP_075186091.1)
WP_075217124.1, Mongoliimonas_terrestris (WP_075217124.1)
WP_075381608.1, Methylobacterium_phyllosphaerae (WP_075381608.1)
WP_075563417.1, Salinicola_sp._MH3R3-1 (WP_075563417.1)
WP_075773147.1, Rhodocista_sp._MIMtkB3 (WP_075773147.1)
WP_075998638.1, Halioglobus (WP_075998638.1)
WP_076068398.1, Sphingomonas_sp._W16RD (WP_076068398.1)
WP_076122869.1, Mycobacterium (WP_076122869.1)
WP_076646139.1, Pontibaca_methylaminivorans (WP_076646139.1)
WP_076754100.1, Acinetobacter_schindleri (WP_076754100.1)
WP_077443765.1, Rhodanobacter_sp._C05 (WP_077443765.1)
WP_077511057.1, Sphingomonas_sp._LM7 (WP_077511057.1)
WP_077513572.1, Rhodanobacter_sp._B05 (WP_077513572.1)
WP_077549567.1, Rhizobium_flavum (WP_077549567.1)
WP_077565969.1, Pseudomonas_aeruginosa (WP_077565969.1)
WP_077732464.1, Methylocaldum_sp._14B (WP_077732464.1)
WP_077929754.1, Acetobacter_persici (WP_077929754.1)
WP_078084599.1, Microbulbifer_mangrovi (WP_078084599.1)
WP_078120783.1, Chromatiaceae_bacterium_2141T.STBD.0c.01a (WP_078120783.1)
WP_078363274.1, Rhodoferax_fermentans (WP_078363274.1)
WP_078477333.1, Solemya_pervernicosa_gill_symbiont (WP_078477333.1)
WP_078488210.1, Solemya_elarraichensis_gill_symbiont (WP_078488210.1)
WP_078756797.1, Lysobacter_spongiicola (WP_078756797.1)
WP_079433043.1, Zoogloea_sp._LCSB751 (WP_079433043.1)
WP_079544152.1, Bradyrhizobium_lablabi (WP_079544152.1)
WP_079603517.1, Bradyrhizobium_erythrophlei (WP_079603517.1)
WP_079923206.1, Mycobacterium_sp._AT1 (WP_079923206.1)
WP_080136800.1, Bradyrhizobium_sp._BR10280 (WP_080136800.1)
WP_080323985.1, Burkholderia_cenocepacia (WP_080323985.1)
WP_081567607.1, Pseudomonas_sp._Bc-h (WP_081567607.1)
WP_081987841.1, Sphingomonas_sp._37zxx (WP_081987841.1)
WP_082186180.1, Agrobacterium_genomosp._5 (WP_082186180.1)
WP_082445493.1, Sphingomonas (WP_082445493.1)
WP_083065166.1, Mycobacterium_arosiense (WP_083065166.1)
WP_083088522.1, Mycobacterium_noviomagense (WP_083088522.1)
WP_083112451.1, Mycobacterium_angelicum (WP_083112451.1)
WP_083126660.1, Mycobacterium_tusciae (WP_083126660.1)
WP_083131712.1, Mycobacterium_branderi (WP_083131712.1)
WP_083137381.1, Mycobacterium_alsense (WP_083137381.1)
WP_083384163.1, Cupriavidus_sp._USMAHM13 (WP_083384163.1)
WP_083590094.1, Aurantimonas_sp._22II-16-19i (WP_083590094.1)
WP_083632991.1, Bradyrhizobium_sp._NAS96.2 (WP_083632991.1)
WP_083688525.1, Luteimonas_tolerans (WP_083688525.1)
WP_083716461.1, Rhizobium/Agrobacterium_group (WP_083716461.1)
WP_083834175.1, Sphingomonas_echinoides (WP_083834175.1)
WP_084309860.1, Pseudomonas_jinjuensis (WP_084309860.1)
WP_084368272.1, Rhizobium_sp._RU36D (WP_084368272.1)
WP_084806685.1, Bradyrhizobium_sp._NAS80.1 (WP_084806685.1)
WP_085091344.1, Azospirillum_oryzae (WP_085091344.1)
WP_085123802.1, Tistlia_consotensis (WP_085123802.1)
WP_085178308.1, Mycobacterium_iranicum (WP_085178308.1)
WP_085219733.1, Mycobacterium_florentinum (WP_085219733.1)
WP_085233646.1, Mycobacterium_conspicuum (WP_085233646.1)
WP_085554661.1, Azospirillum_lipoferum (WP_085554661.1)
WP_085751460.1, Rhizobacter_gummiphilus (WP_085751460.1)
WP_085773563.1, Methylocystis_bryophila (WP_085773563.1)
WP_085882061.1, Oceanibacterium_hippocampi (WP_085882061.1)
WP_086087727.1, Pseudorhodoplanes_sinuspersici (WP_086087727.1)
WP_086190463.1, Acinetobacter_sp._ANC_3832 (WP_086190463.1)
WP_086451561.1, Rhodobacteraceae_bacterium_MCCC_1A06712 (WP_086451561.1)
WP_086789305.1, Crossiella_equi (WP_086789305.1)
WP_086899981.1, Kushneria_marisflavi (WP_086899981.1)
WP_087026705.1, Mycobacterium_aurum (WP_087026705.1)
WP_087074715.1, Mycobacterium_dioxanotrophicus (WP_087074715.1)
WP_087282330.1, Comamonas_serinivorans (WP_087282330.1)
WP_087473589.1, Nitrospira_cf._moscoviensis_SBR1015 (WP_087473589.1)
WP_087719917.1, Salinicola_salarius (WP_087719917.1)
WP_087869110.1, Bathymodiolus_platifrons_methanotrophic_gill_symbiont (WP_087869110.1)
WP_088344308.1, Rhodomicrobium (WP_088344308.1)
WP_088521787.1, Rhodoblastus_acidophilus (WP_088521787.1)
WP_088957608.1, Variovorax_sp._HW608 (WP_088957608.1)
WP_089726059.1, Candidatus_Thiosymbion_oneisti (WP_089726059.1)
WP_090228713.1, Filomicrobium_insigne (WP_090228713.1)
WP_090296982.1, Muricauda_zhangzhouensis (WP_090296982.1)
WP_090535460.1, Paraburkholderia_sartisoli (WP_090535460.1)
WP_090569876.1, Belnapia_rosea (WP_090569876.1)
WP_090605875.1, Mycobacterium_lentiflavum (WP_090605875.1)
WP_090663607.1, Belnapia_rosea (WP_090663607.1)
WP_090664444.1, Belnapia_rosea (WP_090664444.1)
WP_090686847.1, Paraburkholderia_phenazinium (WP_090686847.1)
WP_090706942.1, Beijerinckia_sp._28-YEA-48 (WP_090706942.1)
WP_090707279.1, Beijerinckia_sp._28-YEA-48 (WP_090707279.1)
WP_090826912.1, Nitrosovibrio_tenuis (WP_090826912.1)
WP_091131800.1, Microvirga_guangxiensis (WP_091131800.1)
WP_091133606.1, Microvirga_guangxiensis (WP_091133606.1)
WP_091135691.1, Microvirga_guangxiensis (WP_091135691.1)
WP_091385893.1, Microbulbifer_marinus (WP_091385893.1)
WP_091570711.1, Oryzisolibacter_propanilivorax (WP_091570711.1)
WP_091592329.1, Mesorhizobium_muleiense (WP_091592329.1)
WP_091683902.1, Methylobacterium_sp._275MFSha3.1 (WP_091683902.1)
WP_091738495.1, Phenylobacterium_immobile (WP_091738495.1)
WP_091792828.1, Burkholderia_sp._WP9 (WP_091792828.1)
WP_091793555.1, Lysobacter_sp._yr284 (WP_091793555.1)
WP_091890970.1, Methylobacterium_sp._yr596 (WP_091890970.1)
WP_091948687.1, Phyllobacterium_sp._YR620 (WP_091948687.1)
WP_092003064.1, Marinobacter_pelagius (WP_092003064.1)
WP_092114873.1, Bradyrhizobium_erythrophlei (WP_092114873.1)
WP_092126217.1, Polaromonas_sp._YR568 (WP_092126217.1)
WP_092238009.1, Bradyrhizobium_sp._Gha (WP_092238009.1)
WP_092299193.1, Bradyrhizobium_sp._Ghvi (WP_092299193.1)
WP_092312663.1, Brevundimonas_viscosa (WP_092312663.1)
WP_092358872.1, Collimonas_sp._OK242 (WP_092358872.1)
WP_092715363.1, Rhizobium_multihospitium (WP_092715363.1)
WP_092830187.1, Rhodospirillales_bacterium_URHD0017 (WP_092830187.1)
WP_092864764.1, Hyphomicrobium_facile (WP_092864764.1)
WP_092898952.1, Rhodobacter_sp._24-YEA-8 (WP_092898952.1)
WP_092984251.1, Rhizobium_sp._NFR03 (WP_092984251.1)
WP_093000172.1, Rhizobium_sp._NFR07 (WP_093000172.1)
WP_093011593.1, Variovorax_sp._OV700 (WP_093011593.1)
WP_093124737.1, Variovorax_sp._OK605 (WP_093124737.1)
WP_093147425.1, Thalassobaculum_litoreum (WP_093147425.1)
WP_093236889.1, Variovorax_sp._EL159 (WP_093236889.1)
WP_093637357.1, Paraburkholderia_aspalathi (WP_093637357.1)
WP_094409545.1, Elstera_cyanobacteriorum (WP_094409545.1)
WP_094432586.1, Propionibacteriaceae_bacterium_NML_020265 (WP_094432586.1)
WP_094453871.1, Niveispirillum_sp._TH1-14 (WP_094453871.1)
WP_094564111.1, Herbaspirillum_sp._meg3 (WP_094564111.1)
WP_094975156.1, Bradyrhizobium_sp._3(2017) (WP_094975156.1)
XP_013308671.1, Necator_americanus (XP_013308671.1)
